ID,FC,p
PAXBP1,0.099813861,1
EVI5,0.124881958,1
BMP2K,-0.055937997,1
BOC,0.236032599,1
GTPBP8,0.110739767,1
ANXA3,0.030400766,1
IGFBP7,0.050254309,1
SYNJ1,0.044436044,1
CCDC80,-0.216045193,1
FRAS1,-0.148180438,1
GLMN,0.385231164,1
NOA1,0.005797181,1
SLC10A6,1.078106384,1
PTPN13,-0.089264294,1
SLC35A5,0.147816706,1
MRPL1,0.001531905,1
EVA1C,0.019052272,1
BRDT,0.090515071,1
REST,0.178236971,1
CNOT6L,0.000821988,1
MAPK10,-0.037707953,1
URB1,0.062958918,1
THEGL,-0.205723611,1
CCNG2,0.193869514,1
GTF3C3,0.048608851,1
HUNK,0.16979417,1
TGFBR3,-0.058816072,1
ATG3,0.007856011,1
RASL11B,-0.132434065,1
LOC108348180,-0.004855923,1
PAICS,-0.032453597,1
SCAF4,0.038303455,1
CDC7,-0.042426302,1
USP46,0.118038319,1
FAM114A1L1,0.162739734,1
ZFP644,-0.056057354,1
SOD1,-0.002314395,1
RPLP2,-0.147165186,1
BARHL2,-0.273328386,1
SPATA18,-0.171762935,1
LRRC8D,0.073106778,1
LRRC8C,0.112570799,1
CCNI,0.133606374,1
NCAM2,-0.051847151,1
PPAT,0.187214744,1
LRRC8B,-0.223669798,1
