ID	FC
Zbtb8a	0.31
Cct6b	0.31
Pkp1	0.31
RF00003	0.31
Ube3a	0.31
AABR07030527.2	0.31
Dusp22	0.31
Card10	0.31
Txnip	0.31
Tekt2	0.31
Chordc1	0.31
Plekhg6	0.31
AABR07068304.1	0.31
Chst7	0.31
Tyr	0.31
Alg6	0.31
Letm2	0.31
Mbip	0.31
Rab3il1	0.31
Esr2	0.31
Hpd	0.31
AY172581.24	0.31
Adamtsl4	0.31
Ly75	0.31
Tmem88	0.31
Fanca	0.31
Smim8	0.31
AABR07043748.2	0.31
Depp1	0.31
Morn5	0.31
Cntf	0.31
Sphkap	0.31
Clp1	0.31
